location_id,ihme_loc_id,location_name,level
25336,NGA_25336,Kaduna,4
25337,NGA_25337,Kano,4
25338,NGA_25338,Katsina,4
25339,NGA_25339,Kebbi,4
25340,NGA_25340,Kogi,4
25341,NGA_25341,Kwara,4
25342,NGA_25342,Lagos,4
25343,NGA_25343,Nasarawa,4
25344,NGA_25344,Niger,4
25345,NGA_25345,Ogun,4
25346,NGA_25346,Ondo,4
25347,NGA_25347,Osun,4
25348,NGA_25348,Oyo,4
25349,NGA_25349,Plateau,4
25350,NGA_25350,Rivers,4
25351,NGA_25351,Sokoto,4
25352,NGA_25352,Taraba,4
25353,NGA_25353,Yobe,4
25354,NGA_25354,Zamfara,4
215,STP,Sao Tome and Principe,3
216,SEN,Senegal,3
217,SLE,Sierra Leone,3
218,TGO,Togo,3
